Original,Furigana,Indonesia,JLPT Level
様,さま,keadaan; cara (seseorang melakukan sesuatu); Tuan atau Nyonya,N1
寒気,さむけ,"menggigil, merinding, dingin",N1
侍,さむらい,samurai,N1
さも,さも,"dengan semangat, dengan kepuasan",N1
作用,さよう,"operasi, efek, fungsi",N1
さらう (こどもを～),さらう (こどもを～),menculik,N1
障る,さわる,"menghalangi, mengganggu, mempengaruhi",N1
酸,さん,asam,N1
山岳,さんがく,pegunungan,N1
参議院,さんぎいん,Dewan Penasihat,N1
産休,さんきゅう,cuti hamil,N1
サンキュー,サンキュー,terima kasih,N1
残金,ざんきん,sisa uang,N1
産後,さんご,"pasca melahirkan, setelah melahirkan",N1
残酷,ざんこく,"kekejaman, kekerasan",N1
産出,さんしゅつ,"hasil, produksi",N1
参照,さんしょう,"referensi, konsultasi",N1
参上,さんじょう,"memanggil, mengunjungi",N1
残高,ざんだか,"saldo (bank), sisa",N1
サンタクロース,サンタクロース,Sinterklas,N1
桟橋,さんばし,"dermaga, jeti, pelabuhan",N1
賛美,さんび,"pujian, pemujaan, pemuliaan",N1
山腹,さんぷく,"lereng bukit, lereng gunung",N1
産婦人科,さんふじんか,departemen kebidanan dan ginekologi,N1
産物,さんぶつ,"produk, hasil, buah",N1
山脈,さんみゃく,pegunungan,N1
仕上がり,しあがり,"selesai, akhir, penyelesaian",N1
仕上,しあげ,"akhir, sentuhan akhir",N1
仕上げる,しあげる,"menyelesaikan, merampungkan",N1
飼育,しいく,"pembiakan, pemeliharaan, pembesaran",N1
強いて,しいて,"berani, bersikeras",N1
シート,シート,kursi; lembar,N1
ジーパン,ジーパン,jeans,N1
仕入れる,しいれる,"menyimpan stok, mengisi kembali stok, mendapatkan",N1
強いる,しいる,"memaksa, menekan, memaksa",N1
潮,しお,pasang,N1
歯科,しか,kedokteran gigi,N1
自我,じが,"diri, ego",N1
自覚,じかく,sadar diri,N1
仕掛,しかけ,"perangkat, trik, mekanisme",N1
仕掛ける,しかける,"meletakkan, mengatur, melancarkan",N1
しかしながら,しかしながら,"namun, meskipun demikian",N1
色彩,しきさい,warna,N1
式場,しきじょう,"aula upacara, tempat upacara (misalnya pernikahan)",N1
しきたり,しきたり,"adat, praktik konvensional, tradisi",N1
事業,じぎょう,"proyek, perusahaan, bisnis",N1
軽蔑,けいべつ,"penghinaan, cemoohan",N1
経歴,けいれき,"riwayat pribadi, karier",N1
経路,けいろ,"jalur, rute, saluran",N1
けがらわしい,けがらわしい,"kotor, tidak adil",N1
劇団,げきだん,"rombongan, perusahaan teater",N1
激励,げきれい,dorongan,N1
ゲスト,ゲスト,tamu,N1
獣,けだもの,"binatang, binatang buas",N1
決,けつ,"keputusan, suara",N1
決意,けつい,"keputusan, tekad",N1
結核,けっかく,tuberkulosis,N1
決議,けつぎ,"resolusi, pemungutan suara, keputusan",N1
結合,けつごう,"kombinasi, persatuan",N1
決算,けっさん,"neraca, penyelesaian rekening",N1
月謝,げっしゃ,uang sekolah bulanan,N1
決勝,けっしょう,final (dalam olahraga),N1
結晶,けっしょう,"kristal, kristalisasi",N1
結成,けっせい,pembentukan,N1
結束,けっそく,"persatuan, kesatuan",N1
げっそり,げっそり,"putus asa, kehilangan berat badan",N1
決断,けつだん,"keputusan, tekad",N1
月賦,げっぷ,cicilan bulanan,N1
欠乏,けつぼう,kekurangan,N1
蹴飛ばす,けとばす,"menendang pergi, menendang (seseorang)",N1
けなす,けなす,menjelek-jelekkan,N1
煙たい,けむたい,"berasap, merasa canggung",N1
煙る,けむる,"merokok (misalnya api)",N1
獣,けもの,"binatang, binatang buas",N1
家来,けらい,"pengikut, rombongan, pelayan",N1
下痢,げり,diare,N1
権威,けんい,"otoritas, kekuasaan, pengaruh",N1
兼業,けんぎょう,memegang dua pekerjaan sekaligus,N1
原形,げんけい,"bentuk asli, bentuk dasar",N1
原型,げんけい,"prototipe, model, arketipe",N1
権限,けんげん,"kekuasaan, otoritas, yurisdiksi",N1
現行,げんこう,"sekarang, saat ini, sedang beroperasi",N1
健在,けんざい,"sehat, baik-baik saja",N1
原作,げんさく,karya asli,N1
検事,けんじ,jaksa penuntut umum,N1
原子,げんし,atom,N1
元首,げんしゅ,"penguasa, berdaulat",N1
原書,げんしょ,dokumen asli,N1
懸賞,けんしょう,"menawarkan hadiah, menang, hadiah",N1
健全,けんぜん,"kesehatan, kewarasan, sehat",N1
元素,げんそ,elemen,N1
同調,どうちょう,"simpati, setuju dengan, penyelarasan",N1
到底,とうてい,tidak mungkin,N1
動的,どうてき,"dinamis, kinetik",N1
尊い,とうとい,"berharga, mulia",N1
貴い,とうとい,"berharga, mulia",N1
同等,どうとう,"kesetaraan, setara, pangkat yang sama",N1
堂々,どうどう,"megah, agung, mengesankan",N1
尊ぶ,とうとぶ,"menghargai, menghargai, menghormati",N1
どうにか,どうにか,"entah bagaimana, dengan satu atau lain cara",N1
投入,とうにゅう,"lemparan, investasi, pembuatan (sirkuit listrik)",N1
導入,どうにゅう,"pengenalan, pemasukan, pengantar",N1
当人,とうにん,"yang bersangkutan, orang tersebut",N1
同封,どうふう,"lampiran (misalnya dalam surat)",N1
逃亡,とうぼう,melarikan diri,N1
冬眠,とうみん,"hibernasi, tidur musim dingin",N1
同盟,どうめい,"aliansi, persatuan, liga",N1
どうやら,どうやら,"tampaknya, entah bagaimana",N1
動力,どうりょく,"kekuatan, tenaga penggerak, gaya dinamis",N1
登録,とうろく,"pendaftaran, daftar, catatan",N1
討論,とうろん,diskusi; debat,N1
遠ざかる,とおざかる,pergi jauh,N1
遠回り,とおまわり,"jalan memutar, jalan berputar",N1
トーン,トーン,nada,N1
とかく,とかく,"bagaimanapun, pokoknya, dalam hal apapun",N1
とがめる,とがめる,"menyalahkan, menegur",N1
時折,ときおり,kadang-kadang,N1
とぎれる,とぎれる,"berhenti sejenak, terputus",N1
研ぐ,とぐ,"mengasah, menggerinda, memoles",N1
特技,とくぎ,bakat khusus; keterampilan,N1
独裁,どくさい,"kediktatoran, despotisme",N1
特産,とくさん,"spesialisasi, produk khusus",N1
独自,どくじ,"asli, khas, karakteristik",N1
特集,とくしゅう,"fitur (misalnya surat kabar, edisi khusus, laporan)",N1
独占,どくせん,monopoli,N1
独創,どくそう,orisinalitas,N1
得点,とくてん,"skor, poin yang dibuat",N1
特派,とくは,"mengirim secara khusus, utusan khusus",N1
特有,とくゆう,"karakteristik (dari, khas (untuk))",N1
とげ (をさす),とげ (をさす),duri,N1
遂げる,とげる,"menyelesaikan, mencapai, melaksanakan",N1
～どころか,～どころか,"malah, jauh dari",N1
年頃,としごろ,"usia, usia menikah, masa remaja",N1
戸締り,とじまり,"menutup, mengunci pintu",N1
途上,とじょう,"dalam perjalanan, setengah jalan",N1
土台,どだい,"fondasi, dasar, basis",N1
途絶える,とだえる,"berhenti, berhenti, berakhir",N1
特許,とっきょ,"izin khusus, paten",N1
特権,とっけん,"hak istimewa, hak khusus",N1
とっさに,とっさに,seketika,N1
突如,とつじょ,"tiba-tiba, mendadak",N1
とって,とって,"pegangan, gagang, kenop",N1
突破,とっぱ,"terobosan, penembusan",N1
土手,どて,"tanggul, tepi sungai",N1
届,とどけ,"laporan, pemberitahuan, pendaftaran",N1
滞る,とどこおる,"mandek, tertunda",N1
整える,ととのえる,"merapikan, mengatur, menyesuaikan; bersiap-siap, mempersiapkan; mengumpulkan uang",N1
止める,とどめる,"mengakhiri, berhenti, mengundurkan diri",N1
唱える,となえる,"membaca, melantunkan, menyerukan",N1
殿様,とのさま,tuan feodal,N1
土俵,どひょう,arena,N1
扉,とびら,"pintu, bukaan",N1
溝,どぶ,"selokan, parit, celah",N1
徒歩,とほ,"berjalan, berjalan kaki",N1
土木,どぼく,pekerjaan umum,N1
とぼける,とぼける,"berpura-pura bodoh, berpura-pura tidak tahu, berpura-pura tidak bersalah, memiliki ekspresi wajah kosong; bermain bodoh; menjadi pikun",N1
乏しい,とぼしい,"sedikit, langka, susah, miskin",N1
富,とみ,"kekayaan, keberuntungan",N1
富む,とむ,"menjadi kaya, menjadi kaya",N1
共稼ぎ,ともかせぎ,"bekerja sama, (suami istri) mencari nafkah bersama",N1
伴う,ともなう,"menemani, membawa serta",N1
共働き,ともばたらき,penghasilan ganda (suami istri sama-sama bekerja),N1
ドライ,ドライ,kering,N1
ドライクリーニング,ドライクリーニング,cuci kering,N1
ドライバー,ドライバー,"pengemudi, obeng",N1
ドライブイン,ドライブイン,drive in,N1
トラブル,トラブル,masalah (kadang-kadang digunakan sebagai kata kerja),N1
トランジスター,トランジスター,transistor,N1
とりあえず,とりあえず,"segera, pertama-tama, untuk saat ini",N1
取扱,とりあつかい,"perlakuan, penanganan, manajemen",N1
取り扱う,とりあつかう,"merawat, menangani, berurusan dengan",N1
鳥居,とりい,gerbang kuil Shinto,N1
取り替え,とりかえ,"tukar, pertukaran",N1
取り組む,とりくむ,"menangani, terlibat dalam pertarungan, berhadapan dengan",N1
取締り,とりしまり,"kontrol, penindakan, pengawasan",N1
取り締まる,とりしまる,"menindak, mengontrol, mengawasi",N1
取り調べる,とりしらべる,"menyelidiki, memeriksa",N1
取り立てる,とりたてる,"mengumpulkan, memeras",N1
取り次ぐ,とりつぐ,"bertindak sebagai agen untuk, mengumumkan (seseorang), menyampaikan (pesan)",N1
取り付ける,とりつける,"melengkapi, memasang; mendapatkan persetujuan seseorang",N1
取り除く,とりのぞく,"menghapus, mengambil, menyisihkan",N1
取引,とりひき,"transaksi, urusan, bisnis",N1
取り巻く,とりまく,"mengelilingi, melingkari, melingkupi",N1
取り混ぜる,とりまぜる,"mencampur, menyatukan",N1
取り戻す,とりもどす,"mengambil kembali, mendapatkan kembali",N1
取り寄せる,とりよせる,"memesan, mengirim untuk",N1
ドリル,ドリル,bor,N1
副,とりわけ,"terutama, di atas segalanya",N1
とろける,とろける,meleleh; terpesona dengan,N1
鈍感,どんかん,"berkepala tebal, dungu",N1
とんだ,とんだ,"mengerikan, buruk, serius, sama sekali tidak",N1
度忘れ,どわすれ,"lupa ingatan, lupa sejenak",N1
問屋,とんや,toko grosir,N1
内閣,ないかく,"kabinet, (pemerintah)",N1
乃至,ないし,"dari...ke, antara...dan, atau",N1
内緒,ないしょ,"kerahasiaan, privasi, rahasia",N1
内心,ないしん,"pikiran terdalam, niat sebenarnya, hati terdalam",N1
内蔵,ないぞう,organ dalam; bawaan,N1
ナイター,ナイター,"pertandingan di bawah lampu (misalnya bisbol), pertandingan malam",N1
内部,ないぶ,"interior, dalam, internal",N1
内乱,ないらん,"perang saudara, konflik dalam negeri",N1
内陸,ないりく,pedalaman,N1
苗,なえ,bibit padi,N1
なおさら,なおさら,"terlebih lagi, apalagi",N1
流し,ながし,wastafel,N1
長々,ながなが,"panjang, berlarut-larut, sangat panjang",N1
中程,なかほど,"tengah, pertengahan",N1
渚,なぎさ,"tepi air, pantai, pesisir",N1
嘆く,なげく,"mendesah, meratap, berduka",N1
投げ出す,なげだす,"meninggalkan, membuang",N1
仲人,なこうど,"perantara, mak comblang",N1
和やか,なごやか,"lembut, tenang, harmonis",N1
名残,なごり,"sisa, jejak, kenangan",N1
情け,なさけ,"simpati, kasih sayang",N1
情無い,なさけない,"menyedihkan, menyedihkan, memalukan",N1
情深い,なさけぶかい,"berhati lembut, berbelas kasih",N1
詰る,なじる,"menegur, memarahi, memarahi",N1
名高い,なだかい,"terkenal, termasyhur, terkenal",N1
雪崩,なだれ,longsoran salju,N1
懐く,なつく,menjadi terikat secara emosional,N1
名付ける,なづける,menamai,N1
何気ない,なにげない,"santai, tidak peduli",N1
なにとぞ,なにとぞ,"tolong, dengan baik hati, dengan segala cara",N1
なにより,なにより,"paling, terbaik",N1
ナプキン,ナプキン,serbet,N1
名札,なふだ,"papan nama, tanda nama",N1
生臭い,なまぐさい,"berbau amis atau darah, ikan atau daging",N1
生温い,なまぬるい,"suam-suam kuku, setengah hati",N1
生身,なまみ,"daging hidup, daging dan darah, yang hidup",N1
鉛,なまり,timah (logam),N1
滑らか,なめらか,"kehalusan, kemilau",N1
嘗める,なめる,menjilat; mengalami; mengolok-olok,N1
悩ましい,なやましい,"menggoda, melankolis, lesu",N1
悩ます,なやます,"mengganggu, melecehkan, menganiaya",N1
悩み,なやみ,"masalah, kekhawatiran, kesusahan",N1
並びに,ならびに,dan,N1
成り立つ,なりたつ,"terdiri dari; praktis (logis, layak, dapat dilaksanakan), disimpulkan, berlaku",N1
なるたけ,なるたけ,"sebanyak mungkin, jika mungkin",N1
慣れ,なれ,"latihan, pengalaman",N1
馴々しい,なれなれしい,"akrab, bebas dengan",N1
～なんか,～なんか,sedikit pun ~,N1
ナンセンス,ナンセンス,omong kosong,N1
何だか,なんだか,"sedikit, agak, entah bagaimana",N1
なんだかんだ,なんだかんだ,satu dan lain hal,N1
なんなり,なんなり,"apa saja, apa pun",N1
荷,に,"muatan, barang bawaan, kargo",N1
似通う,にかよう,sangat mirip,N1
にきび,にきび,"jerawat",N1
賑わう,にぎわう,"makmur, berkembang, ramai dengan orang",N1
憎しみ,にくしみ,kebencian,N1
肉親,にくしん,"hubungan darah, kerabat sedarah",N1
肉体,にくたい,"tubuh, daging",N1
逃げ出す,にげだす,"melarikan diri, kabur dari",N1
西日,にしび,matahari terbenam,N1
滲む,にじむ,"mengalir, kabur, menyebar",N1
にせ物,にせもの,"tiruan, palsu",N1
日夜,にちや,"siang dan malam, selalu",N1
荷造り,にづくり,"pengepakan, pembungkusan, pengemasan",N1
担う,になう,"membawa di bahu, menanggung (beban), memikul (senjata)",N1
鈍る,にぶる,"menjadi kurang mampu, menjadi tumpul, menjadi tumpul, melemah",N1
にも関わらず,にもかかわらず,"meskipun, bagaimanapun",N1
ニュアンス,ニュアンス,nuansa,N1
ニュー,ニュー,baru,N1
入手,にゅうしゅ,"memperoleh, mendapatkan",N1
入賞,にゅうしょう,memenangkan hadiah atau tempat (dalam kontes,N1
入浴,にゅうよく,"mandi, bermandi",N1
尿,にょう,urin,N1
認識,にんしき,"pengakuan, pengetahuan",N1
妊娠,にんしん,"konsepsi, kehamilan",N1
任務,にんむ,"tugas, misi",N1
任命,にんめい,"pengangkatan, pencalonan, penahbisan",N1
抜かす,ぬかす,"menghilangkan, meninggalkan",N1
抜け出す,ぬけだす,"menyelinap keluar, menyelinap pergi, unggul",N1
主,ぬし,"pemilik, tuan, dewa",N1
沼,ぬま,"rawa, rawa, kolam",N1
音色,ねいろ,"warna nada, timbre",N1
値打ち,ねうち,"nilai, harga, harga",N1
ネガ,ネガ,negatif (fotografi),N1
寝かせる,ねかせる,"menidurkan, meletakkan, memfermentasi",N1
ねじまわし,ねじまわし,obeng,N1
捩れる,ねじれる,"memutar, meregangkan",N1
妬む,ねたむ,"cemburu, iri",N1
ねだる,ねだる,"merengek, menuntut",N1
熱意,ねつい,"semangat, antusiasme",N1
熱湯,ねっとう,air mendidih,N1
熱量,ねつりょう,nilai kalori,N1
粘り,ねばり,"kelengketan, viskositas",N1
粘る,ねばる,"lengket, rekat, gigih, menempel",N1
値引き,ねびき,"pengurangan harga, diskon",N1
根回し,ねまわし,membuat pengaturan yang diperlukan,N1
眠たい,ねむたい,mengantuk,N1
練る,ねる,"menguleni, mengolah, memoles",N1
念,ねん,"akal, perasaan, keinginan",N1
年賀,ねんが,"ucapan Tahun Baru, kartu Tahun Baru",N1
念願,ねんがん,"keinginan hati, permohonan yang sungguh-sungguh",N1
年号,ねんごう,"nama zaman, nomor tahun",N1
燃焼,ねんしょう,"pembakaran",N1
年長,ねんちょう,senioritas,N1
燃料,ねんりょう,bahan bakar,N1
年輪,ねんりん,cincin tahunan pohon,N1
ノイローゼ,ノイローゼ,neurosis (JER: Neurose),N1
農耕,のうこう,"pertanian, agrikultur",N1
農場,のうじょう,pertanian,N1
農地,のうち,tanah pertanian,N1
納入,のうにゅう,"pembayaran, pasokan",N1
逃す,のがす,"melepaskan, membebaskan, membiarkan kabur",N1
逃れる,のがれる,melarikan diri,N1
軒並,のきなみ,deretan rumah; seragam,N1
望ましい,のぞましい,"diinginkan, diharapkan",N1
乗っ取る,のっとる,"merebut, menduduki, mengambil alih",N1
のどか,のどか,"tenang, damai, sunyi",N1
罵る,ののしる,"menjelek-jelekkan, menghina",N1
延べ,のべ,"masa depan, kredit (pembelian), peregangan, total",N1
飲み込む,のみこむ,"menelan, menelan dalam-dalam, mengerti",N1
乗り込む,のりこむ,"naik, masuk (ke mobil); berbaris masuk, masuk",N1
刃,は,"bilah, pedang",N1
～派,～は,"kelompok, partai, seksi (mil)",N1
バー,バー,bar,N1
把握,はあく,"genggaman, tangkapan, pemahaman",N1
パート,パート,pekerjaan paruh waktu,N1
廃棄,はいき,"pembuangan, pengabaian, pembuangan",N1
配給,はいきゅう,"distribusi (misalnya film, beras",N1
ばい菌,ばいきん,"bakteri, kuman",N1
配偶者,はいぐうしゃ,pasangan,N1
拝啓,はいけい,-- sapaan formal yang digunakan di awal surat --,N1
背景,はいけい,"latar belakang, pemandangan, pengaturan",N1
背後,はいご,"belakang, belakang",N1
廃止,はいし,"penghapusan, pencabutan",N1
拝借,はいしゃく,peminjaman (rendah hati) (sopan),N1
排除,はいじょ,"pengecualian, penghapusan, penolakan",N1
賠償,ばいしょう,"ganti rugi, ganti rugi, kompensasi",N1
排水,はいすい,drainase,N1
敗戦,はいせん,"kekalahan, kalah perang",N1
配置,はいち,"pengaturan (sumber daya), penempatan",N1
配布,はいふ,distribusi,N1
配分,はいぶん,"distribusi, penjatahan",N1
敗北,はいぼく,kekalahan (sebagai kata kerja berarti 'dikalahkan'),N1
倍率,ばいりつ,"diameter, pembesaran",N1
